"Station Name","MCTAVISH"
"Province","QUEBEC"
"Latitude","45.51"
"Longitude","-73.58"
"Elevation","73.10"
"Climate Identifier","7024745"
"WMO Identifier","71612"
"TC Identifier","WTA"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"M","Missing"
"E","Estimated"
"NA","Not Available"
"**","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2012-10-01 00:00","2012","10","01","00:00"," ","11.20","","10.20","","94.00","","26.00","","4.00","","","","99.19","","","","","","NA"
"2012-10-01 01:00","2012","10","01","01:00"," ","11.20","","10.20","","94.00","","27.00","","4.00","","","","99.13","","","","","","NA"
"2012-10-01 02:00","2012","10","01","02:00"," ","11.20","","10.20","","94.00","","29.00","","2.00","","","","99.06","","","","","","NA"
"2012-10-01 03:00","2012","10","01","03:00"," ","11.20","","10.40","","95.00","","17.00","","2.00","","","","99.01","","","","","","NA"
"2012-10-01 04:00","2012","10","01","04:00"," ","11.10","","10.30","","95.00","","25.00","","4.00","","","","99.00","","","","","","NA"
"2012-10-01 05:00","2012","10","01","05:00"," ","11.20","","10.30","","94.00","","25.00","","4.00","","","","99.02","","","","","","NA"
"2012-10-01 06:00","2012","10","01","06:00"," ","11.40","","10.30","","93.00","","25.00","","6.00","","","","99.07","","","","","","NA"
"2012-10-01 07:00","2012","10","01","07:00"," ","11.90","","10.50","","91.00","","25.00","","6.00","","","","99.16","","","","","","NA"
"2012-10-01 08:00","2012","10","01","08:00"," ","12.00","","10.50","","91.00","","36.00","","6.00","","","","99.27","","","","","","NA"
"2012-10-01 09:00","2012","10","01","09:00"," ","13.60","","11.60","","88.00","","28.00","","4.00","","","","99.35","","","","","","NA"
"2012-10-01 10:00","2012","10","01","10:00"," ","14.80","","11.80","","82.00","","26.00","","2.00","","","","99.43","","","","","","NA"
"2012-10-01 11:00","2012","10","01","11:00"," ","15.20","","11.60","","79.00","","16.00","","4.00","","","","99.51","","","","","","NA"
"2012-10-01 12:00","2012","10","01","12:00"," ","15.40","","11.40","","77.00","","30.00","","4.00","","","","99.60","","","","","","NA"
"2012-10-01 13:00","2012","10","01","13:00"," ","15.30","","10.60","","74.00","","25.00","","6.00","","","","99.69","","","","","","NA"
"2012-10-01 14:00","2012","10","01","14:00"," ","15.60","","10.80","","73.00","","25.00","","6.00","","","","99.75","","","","","","NA"
"2012-10-01 15:00","2012","10","01","15:00"," ","15.40","","11.10","","76.00","","20.00","","4.00","","","","99.81","","","","","","NA"
"2012-10-01 16:00","2012","10","01","16:00"," ","14.70","","10.60","","76.00","","29.00","","6.00","","","","99.90","","","","","","NA"
"2012-10-01 17:00","2012","10","01","17:00"," ","14.70","","10.70","","77.00","","22.00","","4.00","","","","100.01","","","","","","NA"
"2012-10-01 18:00","2012","10","01","18:00"," ","14.60","","10.70","","77.00","","25.00","","4.00","","","","100.08","","","","","","NA"
"2012-10-01 19:00","2012","10","01","19:00"," ","14.60","","10.90","","78.00","","18.00","","2.00","","","","100.13","","","","","","NA"
"2012-10-01 20:00","2012","10","01","20:00"," ","14.20","","11.20","","82.00","","23.00","","6.00","","","","100.17","","","","","","NA"
"2012-10-01 21:00","2012","10","01","21:00"," ","14.30","","11.10","","81.00","","24.00","","4.00","","","","100.23","","","","","","NA"
"2012-10-01 22:00","2012","10","01","22:00"," ","14.20","","11.20","","82.00","","23.00","","2.00","","","","100.24","","","","","","NA"
"2012-10-01 23:00","2012","10","01","23:00"," ","13.40","","11.30","","87.00","","22.00","","7.00","","","","100.31","","","","","","NA"
"2012-10-02 00:00","2012","10","02","00:00"," ","14.20","","12.20","","88.00","","26.00","","6.00","","","","100.31","","","","","","NA"
"2012-10-02 01:00","2012","10","02","01:00"," ","14.00","","12.50","","91.00","","27.00","","7.00","","","","100.32","","","","","","NA"
"2012-10-02 02:00","2012","10","02","02:00"," ","13.70","","12.20","","91.00","","28.00","","9.00","","","","100.32","","","","","","NA"
"2012-10-02 03:00","2012","10","02","03:00"," ","13.50","","12.00","","91.00","","29.00","","9.00","","","","100.38","","","","","","NA"
"2012-10-02 04:00","2012","10","02","04:00"," ","13.30","","11.80","","91.00","","30.00","","9.00","","","","100.39","","","","","","NA"
"2012-10-02 05:00","2012","10","02","05:00"," ","13.40","","12.10","","92.00","","30.00","","9.00","","","","100.46","","","","","","NA"
"2012-10-02 06:00","2012","10","02","06:00"," ","13.20","","11.60","","90.00","","28.00","","9.00","","","","100.51","","","","","","NA"
"2012-10-02 07:00","2012","10","02","07:00"," ","13.50","","11.80","","89.00","","21.00","","4.00","","","","100.58","","","","","","NA"
"2012-10-02 08:00","2012","10","02","08:00"," ","14.00","","12.00","","88.00","","25.00","","6.00","","","","100.63","","","","","","NA"
"2012-10-02 09:00","2012","10","02","09:00"," ","15.20","","12.80","","86.00","","18.00","","6.00","","","","100.65","","","","","","NA"
"2012-10-02 10:00","2012","10","02","10:00"," ","15.30","","12.40","","83.00","","17.00","","4.00","","","","100.66","","","","","","NA"
"2012-10-02 11:00","2012","10","02","11:00"," ","17.20","","12.90","","76.00","","19.00","","7.00","","","","100.66","","","","","","NA"
"2012-10-02 12:00","2012","10","02","12:00"," ","18.10","","11.90","","67.00","","22.00","","7.00","","","","100.66","","","","","","NA"
"2012-10-02 13:00","2012","10","02","13:00"," ","18.40","","11.50","","64.00","","21.00","","9.00","","","","100.58","","","","","","NA"
"2012-10-02 14:00","2012","10","02","14:00"," ","18.80","","12.20","","65.00","","22.00","","6.00","","","","100.61","","","","","","NA"
"2012-10-02 15:00","2012","10","02","15:00"," ","18.80","","11.50","","63.00","","23.00","","4.00","","","","100.65","","","","","","NA"
"2012-10-02 16:00","2012","10","02","16:00"," ","18.40","","12.30","","68.00","","22.00","","4.00","","","","100.64","","","","","","NA"
"2012-10-02 17:00","2012","10","02","17:00"," ","17.80","","12.20","","70.00","","19.00","","6.00","","","","100.68","","","","","","NA"
"2012-10-02 18:00","2012","10","02","18:00"," ","16.60","","12.50","","77.00","","20.00","","4.00","","","","100.74","","","","","","NA"
"2012-10-02 19:00","2012","10","02","19:00"," ","16.10","","12.70","","80.00","","21.00","","6.00","","","","100.75","","","","","","NA"
"2012-10-02 20:00","2012","10","02","20:00"," ","15.80","","12.50","","81.00","","22.00","","6.00","","","","100.80","","","","","","NA"
"2012-10-02 21:00","2012","10","02","21:00"," ","14.40","","12.00","","85.00","","25.00","","2.00","","","","100.84","","","","","","NA"
"2012-10-02 22:00","2012","10","02","22:00"," ","13.60","","11.80","","89.00","","30.00","","4.00","","","","100.87","","","","","","NA"
"2012-10-02 23:00","2012","10","02","23:00"," ","13.50","","12.00","","91.00","","28.00","","2.00","","","","100.89","","","","","","NA"
"2012-10-03 00:00","2012","10","03","00:00"," ","13.40","","12.20","","92.00","","28.00","","4.00","","","","100.88","","","","","","NA"
"2012-10-03 01:00","2012","10","03","01:00"," ","12.80","","11.90","","94.00","","26.00","","2.00","","","","100.91","","","","","","NA"
"2012-10-03 02:00","2012","10","03","02:00"," ","12.60","","11.80","","95.00","","28.00","","2.00","","","","100.90","","","","","","NA"
"2012-10-03 03:00","2012","10","03","03:00"," ","12.90","","12.10","","95.00","","1.00","","4.00","","","","100.92","","","","","","NA"
"2012-10-03 04:00","2012","10","03","04:00"," ","12.90","","12.00","","94.00","","3.00","","4.00","","","","100.96","","","","","","NA"
"2012-10-03 05:00","2012","10","03","05:00"," ","12.30","","11.60","","95.00","","2.00","","4.00","","","","100.96","","","","","","NA"
"2012-10-03 06:00","2012","10","03","06:00"," ","12.10","","11.40","","95.00","","36.00","","4.00","","","","101.00","","","","","","NA"
"2012-10-03 07:00","2012","10","03","07:00"," ","12.30","","11.50","","95.00","","1.00","","7.00","","","","101.06","","","","","","NA"
"2012-10-03 08:00","2012","10","03","08:00"," ","12.70","","11.80","","94.00","","2.00","","7.00","","","","101.13","","","","","","NA"
"2012-10-03 09:00","2012","10","03","09:00"," ","14.30","","12.90","","91.00","","3.00","","9.00","","","","101.11","","","","","","NA"
"2012-10-03 10:00","2012","10","03","10:00"," ","14.90","","12.60","","86.00","","2.00","","9.00","","","","101.10","","","","","","NA"
"2012-10-03 11:00","2012","10","03","11:00"," ","16.00","","13.10","","83.00","","3.00","","7.00","","","","101.05","","","","","","NA"
"2012-10-03 12:00","2012","10","03","12:00"," ","16.30","","13.50","","83.00","","4.00","","9.00","","","","101.01","","","","","","NA"
"2012-10-03 13:00","2012","10","03","13:00"," ","16.60","","12.90","","79.00","","1.00","","7.00","","","","100.98","","","","","","NA"
"2012-10-03 14:00","2012","10","03","14:00"," ","17.90","","13.40","","75.00","","1.00","","9.00","","","","100.98","","","","","","NA"
"2012-10-03 15:00","2012","10","03","15:00"," ","18.50","","13.30","","72.00","","4.00","","7.00","","","","100.99","","","","","","NA"
"2012-10-03 16:00","2012","10","03","16:00"," ","18.50","","13.50","","73.00","","1.00","","7.00","","","","101.01","","","","","","NA"
"2012-10-03 17:00","2012","10","03","17:00"," ","18.50","","13.40","","72.00","","1.00","","6.00","","","","101.03","","","","","","NA"
"2012-10-03 18:00","2012","10","03","18:00"," ","18.60","","13.60","","73.00","","3.00","","4.00","","","","101.06","","","","","","NA"
"2012-10-03 19:00","2012","10","03","19:00"," ","18.40","","13.80","","75.00","","3.00","","4.00","","","","101.10","","","","","","NA"
"2012-10-03 20:00","2012","10","03","20:00"," ","17.60","","13.70","","78.00","","1.00","","6.00","","","","101.08","","","","","","NA"
"2012-10-03 21:00","2012","10","03","21:00"," ","17.90","","14.10","","78.00","","4.00","","6.00","","","","101.13","","","","","","NA"
"2012-10-03 22:00","2012","10","03","22:00"," ","17.60","","14.20","","80.00","","2.00","","4.00","","","","101.14","","","","","","NA"
"2012-10-03 23:00","2012","10","03","23:00"," ","17.50","","14.40","","82.00","","2.00","","4.00","","","","101.14","","","","","","NA"
"2012-10-04 00:00","2012","10","04","00:00"," ","17.00","","14.30","","84.00","","36.00","","6.00","","","","101.14","","","","","","NA"
"2012-10-04 01:00","2012","10","04","01:00"," ","15.80","","13.80","","88.00","","2.00","","6.00","","","","101.12","","","","","","NA"
"2012-10-04 02:00","2012","10","04","02:00"," ","15.00","","12.80","","87.00","","1.00","","9.00","","","","101.14","","","","","","NA"
"2012-10-04 03:00","2012","10","04","03:00"," ","13.90","","11.90","","88.00","","1.00","","9.00","","","","101.13","","","","","","NA"
"2012-10-04 04:00","2012","10","04","04:00"," ","12.50","","10.80","","89.00","","1.00","","9.00","","","","101.13","","","","","","NA"
"2012-10-04 05:00","2012","10","04","05:00"," ","11.90","","10.90","","94.00","","1.00","","7.00","","","","101.14","","","","","","NA"
"2012-10-04 06:00","2012","10","04","06:00"," ","11.70","","10.70","","94.00","","1.00","","7.00","","","","101.13","","","","","","NA"
"2012-10-04 07:00","2012","10","04","07:00"," ","11.50","","10.60","","94.00","","1.00","","7.00","","","","101.14","","","","","","NA"
"2012-10-04 08:00","2012","10","04","08:00"," ","11.70","","10.90","","95.00","","1.00","","7.00","","","","100.92","","","","","","NA"
"2012-10-04 09:00","2012","10","04","09:00"," ","","M","","M","","M","","M","","M","","","","M","","","","","NA"
"2012-10-04 10:00","2012","10","04","10:00"," ","12.60","","10.70","","88.00","","2.00","","6.00","","","","101.06","","","","","","NA"
"2012-10-04 11:00","2012","10","04","11:00"," ","13.40","","11.80","","90.00","","5.00","","6.00","","","","101.02","","","","","","NA"
"2012-10-04 12:00","2012","10","04","12:00"," ","14.10","","12.40","","89.00","","2.00","","2.00","","","","100.99","","","","","","NA"
"2012-10-04 13:00","2012","10","04","13:00"," ","14.70","","13.00","","90.00","","0.00","","0.00","","","","100.94","","","","","","NA"
"2012-10-04 14:00","2012","10","04","14:00"," ","15.00","","12.90","","87.00","","4.00","","2.00","","","","100.89","","","","","","NA"
"2012-10-04 15:00","2012","10","04","15:00"," ","15.50","","13.40","","87.00","","0.00","","0.00","","","","100.83","","","","","","NA"
"2012-10-04 16:00","2012","10","04","16:00"," ","16.30","","13.80","","85.00","","16.00","","2.00","","","","100.77","","","","","","NA"
"2012-10-04 17:00","2012","10","04","17:00"," ","16.10","","14.10","","88.00","","20.00","","4.00","","","","100.71","","","","","","NA"
"2012-10-04 18:00","2012","10","04","18:00"," ","14.60","","13.60","","94.00","","0.00","","0.00","","","","100.70","","","","","","NA"
"2012-10-04 19:00","2012","10","04","19:00"," ","14.90","","14.40","","97.00","","19.00","","4.00","","","","100.70","","","","","","NA"
"2012-10-04 20:00","2012","10","04","20:00"," ","14.80","","14.40","","97.00","","21.00","","6.00","","","","100.69","","","","","","NA"
"2012-10-04 21:00","2012","10","04","21:00"," ","14.50","","14.00","","97.00","","20.00","","2.00","","","","100.66","","","","","","NA"
"2012-10-04 22:00","2012","10","04","22:00"," ","15.40","","14.60","","95.00","","17.00","","2.00","","","","100.59","","","","","","NA"
"2012-10-04 23:00","2012","10","04","23:00"," ","16.50","","12.70","","78.00","","18.00","","7.00","","","","100.53","","","","","","NA"
"2012-10-05 00:00","2012","10","05","00:00"," ","17.00","","12.00","","72.00","","19.00","","6.00","","","","100.49","","","","","","NA"
"2012-10-05 01:00","2012","10","05","01:00"," ","16.40","","12.50","","78.00","","19.00","","6.00","","","","100.49","","","","","","NA"
"2012-10-05 02:00","2012","10","05","02:00"," ","16.00","","12.70","","81.00","","19.00","","6.00","","","","100.48","","","","","","NA"
"2012-10-05 03:00","2012","10","05","03:00"," ","15.40","","12.40","","82.00","","21.00","","4.00","","","","100.50","","","","","","NA"
"2012-10-05 04:00","2012","10","05","04:00"," ","14.70","","12.30","","86.00","","18.00","","6.00","","","","100.52","","","","","","NA"
"2012-10-05 05:00","2012","10","05","05:00"," ","14.60","","12.30","","86.00","","18.00","","6.00","","","","100.51","","","","","","NA"
"2012-10-05 06:00","2012","10","05","06:00"," ","14.70","","12.80","","88.00","","19.00","","6.00","","","","100.50","","","","","","NA"
"2012-10-05 07:00","2012","10","05","07:00"," ","15.20","","13.50","","90.00","","20.00","","6.00","","","","100.49","","","","","","NA"
"2012-10-05 08:00","2012","10","05","08:00"," ","16.10","","13.50","","85.00","","17.00","","6.00","","","","100.49","","","","","","NA"
"2012-10-05 09:00","2012","10","05","09:00"," ","16.90","","13.00","","78.00","","17.00","","7.00","","","","100.40","","","","","","NA"
"2012-10-05 10:00","2012","10","05","10:00"," ","19.40","","13.60","","69.00","","22.00","","7.00","","","","100.39","","","","","","NA"
"2012-10-05 11:00","2012","10","05","11:00"," ","17.60","","13.70","","78.00","","21.00","","6.00","","","","100.42","","","","","","NA"
"2012-10-05 12:00","2012","10","05","12:00"," ","17.80","","14.10","","79.00","","19.00","","7.00","","","","100.31","","","","","","NA"
